#TEST-DATA-START;;;
#P00:TestType                  :  2 (Frequency-Sweep Constant Amplitude);;;
#P01:Date                      : 2035.01.18;;;
#P02:Time                      : 08:57:01;;;
#P03:Amplitude                 :           0,100 mm;;;
#P04:Start-Frequency           :           150,0 Hz;;;
#P05:End-Frequency             :           350,0 Hz;;;
#P06:Frequeny-Step             :             1,0 Hz;;;
#P07:Frequeny-Rate             :             1,0 Hz/s;;;
#P08:Preload                   : (Position)               0,0 mm;;;
#P09:Prufling                  : Tilger  ;;;
# Prueflingsnummer             : Tilger_1;;;
# Teilenummer                  : ;;;
# Auftraggeber/Abteilung       : Max Mustermann/EF-XXX;;;
# Prod.Datum                   : ;;;
# Herstellerinformation        : ;;;
# Temperatur                   : RT;;;
# Richtung                     : Radial;;;
# Fsu/Fso                      : ;;;
# Kommentar 1                  : 250Hz ;;;
# Kommentar 2                  : ;;;
#P10:Input-Signal              : Analog Input -14;;;
#P11:Input-Signal-Unit         : -;;;
#P12:Output-Signal             : Analog Input -14;;;
#P13:Output-Signal-Unit        : -;;;
#P14:Benutzer                  : Max Mustermann, EF-XXX;;;
#P15:Prüfstand                 : BMW-001;;;
#Point Nr.; Freq.;FRFMag;FRFPhase
0;0,806451613;14,435113;6,789436
1;0,811827957;14,68741;6,997549
2;0,817204301;14,940526;7,212755
3;0,822580645;15,198674;7,407323
4;0,827956989;15,467463;7,595147
5;0,833333333;15,749166;7,802641
6;0,838709677;16,0419;8,02001
7;0,844086022;16,354392;8,247973
8;0,849462366;16,669349;8,48346
9;0,85483871;17,019057;8,702005
10;0,860215054;17,377739;8,986158
11;0,865591398;17,762542;9,26421
12;0,870967742;18,159239;9,586478
13;0,876344086;18,581532;9,920829
14;0,88172043;19,034397;10,292248
15;0,887096774;19,52158;10,642943
16;0,892473118;20,023383;11,116357
17;0,897849462;20,579304;11,555508
18;0,903225806;21,16382;12,068126
19;0,908602151;21,796646;12,614676
20;0,913978495;22,491114;13,202869
21;0,919354839;23,234154;13,847305
22;0,924731183;24,049618;14,553229
23;0,930107527;24,953967;15,335676
24;0,935483871;25,927554;16,216303
25;0,940860215;26,990699;17,127907
26;0,946236559;28,133227;18,123663
27;0,951612903;29,40779;19,199251
28;0,956989247;30,770184;20,468237
29;0,962365591;32,221194;22,000295
30;0,967741935;33,730427;23,867566
31;0,97311828;35,463964;26,239346
32;0,978494624;37,557107;29,433698
33;0,983870968;40,472797;34,138897
34;0,989247312;45,404913;43,183495
35;0,994623656;53,767642;75,872859
36;1;54,741771;97,394189
37;1,005376344;53,984239;106,960278
38;1,010752688;52,558644;114,498761
39;1,016129032;50,55007;121,399924
40;1,021505376;48,66604;125,887862
41;1,02688172;46,718192;129,421019
42;1,032258065;44,803022;132,309691
43;1,037634409;42,947121;134,762004
44;1,043010753;41,24747;136,831907
45;1,048387097;39,67992;138,612534
46;1,053763441;38,238678;140,165499
47;1,059139785;36,889332;141,567495
48;1,064516129;35,666996;142,801863
49;1,069892473;34,521424;143,912171
50;1,075268817;33,440226;144,928779
51;1,080645161;32,448114;145,835194
52;1,086021505;31,499446;146,687151
53;1,091397849;30,619237;147,462613
54;1,096774194;29,800731;148,152938
55;1,102150538;29,01879;148,823121
56;1,107526882;28,272662;149,428573
57;1,112903226;27,570969;150,007601
58;1,11827957;26,882444;150,560953
59;1,123655914;26,250865;151,055412
60;1,129032258;25,639084;151,513171
61;1,134408602;25,039547;151,984887
62;1,139784946;24,46394;152,383036
63;1,14516129;23,896359;152,79201
64;1,150537634;23,35959;153,161565
65;1,155913978;22,830125;153,52799
66;1,161290323;22,321302;153,854458
67;1,166666667;21,805564;154,171623
68;1,172043011;21,317209;154,476243
69;1,177419355;20,832047;154,734373
70;1,182795699;20,358275;154,986921
71;1,188172043;19,886958;155,210671
72;1,193548387;19,433678;155,461367
73;1,198924731;18,987019;155,673639
74;1,204301075;18,553483;155,878517
75;1,209677419;18,128201;156,071756
76;1,215053763;17,71496;156,257981
77;1,220430108;17,30705;156,412199
78;1,225806452;16,913544;156,568521
79;1,231182796;16,524801;156,709899
80;1,23655914;16,145242;156,820306
81;1,241935484;15,77326;156,938231
82;1,247311828;15,405761;157,031877
83;1,252688172;15,053467;157,103012
84;1,258064516;14,710152;157,165768
85;1,26344086;14,37085;157,209439
86;1,268817204;14,039026;157,22597
87;1,274193548;13,721007;157,229477
88;1,279569892;13,406113;157,218086
89;1,284946237;13,099141;157,18489
90;1,290322581;12,80155;157,119109
91;1,295698925;12,511152;157,038849
92;1,301075269;12,232136;156,921961
93;1,306451613;11,956793;156,773266
94;1,311827957;11,688597;156,607254
95;1,317204301;11,431332;156,382794
96;1,322580645;11,179125;156,134569
97;1,327956989;10,933023;155,8519
98;1,333333333;10,699518;155,510196
99;1,338709677;10,522635;155,164519
100;1,344086022;10,30847;154,777186
101;1,349462366;10,106179;154,32563
102;1,35483871;9,925933;153,96597
103;1,360215054;9,745317;153,381987
104;1,365591398;9,583495;152,757859
105;1,370967742;9,445819;152,07137
106;1,376344086;9,333786;151,364654
107;1,38172043;9,249959;150,669655
108;1,387096774;9,197057;150,011393
109;1,392473118;9,174306;149,434064
110;1,397849462;9,182009;148,982343
111;1,403225806;9,211307;148,698335
112;1,408602151;9,258726;148,600323
113;1,413978495;9,320893;148,672548
114;1,419354839;9,384785;148,935077
115;1,424731183;9,446805;149,343248
116;1,430107527;9,503322;149,868786
117;1,435483871;9,546541;150,517056
118;1,440860215;9,577806;151,199944
119;1,446236559;9,596755;151,929793
120;1,451612903;9,600077;152,690778
